,districtText,furnishingCode,value,floorArea,bedrooms,bathrooms,pricePerSqFt,hasFloorplans,latitude,longitude
0, Hougang  /  Punggol  /  Sengkang ,FULL,458000,990,3,2,462.6262626,TRUE,1.402608,103.911427
1, Buona  Vista  /  West  Coast  /  Clementi  New  Town ,FULL,775000,1022,3,2,758.3170254,FALSE,1.306192,103.782499
2, Ang  Mo  Kio  /  Bishan  /  Thomson ,UNFUR,875000,1259,3,2,694.9960286,TRUE,1.371803482,103.8535492
3, Admiralty  /  Woodlands ,UNKNOWN,280000,699,3,2,400.5722461,FALSE,1.442670315,103.7778019
4, Hougang  /  Punggol  /  Sengkang ,PART,410000,1184,3,2,346.2837838,TRUE,1.393140738,103.8883531
5, Hougang  /  Punggol  /  Sengkang ,PART,455000,1184,3,2,384.2905405,TRUE,1.392349532,103.8978576
6, Boon  Lay  /  Jurong  /  Tuas ,UNKNOWN,288000,785,2,2,366.8789809,FALSE,1.347668433,103.7252415
7, Pasir  Ris  /  Tampines ,UNKNOWN,550000,1292,3,2,425.6965944,TRUE,1.359711092,103.9334686
8, Ang  Mo  Kio  /  Bishan  /  Thomson ,PART,680000,1280,3,2,531.25,TRUE,1.372784191,103.8469108
9, Pasir  Ris  /  Tampines ,PART,668000,1603,4,2,416.7186525,TRUE,1.367455498,103.9568603
10, Sembawang  /  Yishun ,PART,599000,1572,3,3,381.043257,TRUE,1.421347347,103.8363936
11, Balestier  /  Toa  Payoh ,FULL,880000,1485,4,2,592.5925926,TRUE,1.320802366,103.8617327
12, Balestier  /  Toa  Payoh ,FULL,549999,1140,3,2,482.4552632,FALSE,1.326093609,103.8567514
13, Hougang  /  Punggol  /  Sengkang ,PART,485000,1238,3,2,391.7609047,TRUE,1.376692492,103.8794308
14, Pasir  Ris  /  Tampines ,FULL,848000,1572,4,3,539.4402036,TRUE,1.342534488,103.9569649
15, Sembawang  /  Yishun ,UNKNOWN,300000,785,2,2,382.1656051,FALSE,1.428880943,103.8482836
16, Hougang  /  Punggol  /  Sengkang ,FULL,575000,1001,3,2,574.4255744,TRUE,1.403255823,103.9016908
17, Boon  Lay  /  Jurong  /  Tuas ,UNKNOWN,505000,1184,3,2,426.5202703,TRUE,1.338755682,103.7023278
18, Boon  Lay  /  Jurong  /  Tuas ,UNKNOWN,490000,1184,3,2,413.8513514,TRUE,1.336936235,103.704259
19, Hougang  /  Punggol  /  Sengkang ,UNKNOWN,450000,1011,3,2,445.1038576,TRUE,1.403054,103.902472
20, Admiralty  /  Woodlands ,UNKNOWN,650000,1722,5,3,377.4680604,FALSE,1.431875638,103.7741533
21, Alexandra  /  Commonwealth ,UNKNOWN,750000,1076,3,2,697.0260223,TRUE,1.287956633,103.8152875
22, Boon  Lay  /  Jurong  /  Tuas ,PART,620000,1399,4,2,443.1736955,TRUE,1.343065138,103.7028327
23, Tanglin  /  Holland  /  Bukit  Timah ,UNFUR,600000,1227,3,2,488.997555,TRUE,1.310765009,103.7875935
24, Hougang  /  Punggol  /  Sengkang ,UNFUR,520000,1292,3,2,402.4767802,TRUE,1.351046097,103.889048
